pl_name,sy_mnum,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_rvamp
11 Com b,0,2007,326.03000000,12.100,6165.60000,19.100000,302.800
11 UMi b,0,2009,516.21997000,12.300,4684.81420,13.800000,189.700
14 And b,0,2008,185.84000000,12.900,1525.50000,3.900000,100.000
14 Her b,0,2002,1765.03890112,12.600,2586.74645,7.110000,89.582
16 Cyg B b,0,1996,798.50000000,13.500,565.73740,1.260000,50.500
17 Sco b,0,2020,578.38000000,12.900,1373.01872,3.510000,92.400
18 Del b,0,2008,993.30000000,12.500,3273.50000,9.210000,119.400
1RXS J160929.1-210524 b,0,2008,,18.647,3000.00000,2.540000,
24 Boo b,0,2018,30.35060000,13.900,289.22530,0.592000,59.900
24 Sex b,0,2010,452.80000000,13.400,632.46000,1.440000,40.000
24 Sex c,0,2010,883.00000000,13.900,273.32000,0.559000,14.500
2M0437 b,0,2021,,13.000,1271.31363,3.180000,
2MASS J01033563-5515561 AB b,0,2013,,12.300,4131.79000,12.200000,
2MASS J01225093-2439505 b,0,2013,,11.209,7786.50000,30.400000,
2MASS J02192210-3925225 b,0,2015,,16.141,4417.83700,5.770000,
2MASS J04414489+2301513 b,0,2010,,12.600,2383.60000,6.550000,
2MASS J12073346-3932539 b,0,2004,,12.900,1589.15000,4.070000,
2MASS J19383260+4603591 b,0,2015,406.00000000,13.400,603.87700,1.380000,
2MASS J21402931+1625183 A b,0,2009,7336.50000000,10.310,6657.48000,33.400000,
2MASS J22362452+4751425 b,0,2016,,12.300,3972.87500,11.700000,
30 Ari B b,0,2009,335.10001000,12.300,4392.41060,13.000000,272.000
4 UMa b,0,2006,269.30000000,12.700,2256.50000,6.050000,215.550
42 Dra b,0,2008,479.10000000,13.000,1233.13000,3.080000,110.500
47 UMa b,0,1996,1078.00000000,13.200,804.08000,1.920000,48.400
47 UMa c,0,2001,2391.00000000,14.200,171.62100,0.329000,8.000
47 UMa d,0,2009,14002.00000000,13.500,521.22000,1.160000,13.800
51 Eri b,0,2015,11688.00000000,13.400,635.66000,1.450000,
51 Peg b,0,1995,4.23078500,14.300,146.20180,0.275000,55.940
