pl_name,sy_mnum,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim
11 Com b,0,2007,326.03000000,0.32000000,-0.32000000,0,12.100,,,0,6165.60000,476.70000,-476.70000,0,19.100000,,,0,,,,,302.800,2.600,-2.600,0
11 UMi b,0,2009,516.21997000,3.20000000,-3.20000000,0,12.300,,,0,4684.81420,794.57500,-794.57500,0,13.800000,,,0,,,,,189.700,7.200,-7.200,0
14 And b,0,2008,185.84000000,0.23000000,-0.23000000,0,12.900,,,0,1525.50000,,,0,3.900000,,,0,,,,,100.000,1.300,-1.300,0
14 Her b,0,2002,1765.03890112,1.67708897,-1.87256063,0,12.600,,,0,2586.74645,492.67126,-308.97002,0,7.110000,,,0,,,,,89.582,0.963,-0.822,0
16 Cyg B b,0,1996,798.50000000,1.00000000,-1.00000000,0,13.500,,,0,565.73740,25.42640,-25.42640,0,1.260000,,,0,,,,,50.500,1.600,-1.600,0
17 Sco b,0,2020,578.38000000,2.01000000,-2.09000000,0,12.900,,,0,1373.01872,47.67426,-38.13941,0,3.510000,,,0,,,,,92.400,3.900,-3.840,0
18 Del b,0,2008,993.30000000,3.20000000,-3.20000000,0,12.500,,,0,3273.50000,,,0,9.210000,,,0,,,,,119.400,1.300,-1.300,0
1RXS J160929.1-210524 b,0,2008,,,,,18.647,,,0,3000.00000,300.00000,-300.00000,0,2.540000,,,0,,,,,,,,
24 Boo b,0,2018,30.35060000,0.00780000,-0.00770000,0,13.900,,,0,289.22530,41.31790,-31.78300,0,0.592000,,,0,,,,,59.900,3.300,-3.200,0
24 Sex b,0,2010,452.80000000,2.10000000,-4.50000000,0,13.400,,,0,632.46000,82.63000,-120.77000,0,1.440000,,,0,,,,,40.000,4.900,-7.800,0
24 Sex c,0,2010,883.00000000,32.40000000,-13.80000000,0,13.900,,,0,273.32000,111.24000,-69.92000,0,0.559000,,,0,,,,,14.500,7.500,-3.600,0
2M0437 b,0,2021,,,,,13.000,,,0,1271.31363,317.82841,-317.82841,0,3.180000,,,0,,,,,,,,
